"Refs","Value","Footprint","Qty","DNP"
"BZ?","Buzzer","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"C_BULK?","470uF/16V","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","1",""
"C_DEC?","100nF","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","1",""
"D_PWR?","1N5819","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","1",""
"J_BP1","Bluepill_L","Connector_PinSocket_2.54mm:PinSocket_1x20_P2.54mm_Vertical","1",""
"J_BP2","Bluepill_R","Connector_PinSocket_2.54mm:PinSocket_1x20_P2.54mm_Vertical","1",""
"J_IMU?","GY-521","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","1",""
"J_M1","ESC_M1","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"J_M2","ESC_M2","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"J_M3","ESC_M3","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"J_M4","ESC_M4","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"J_PWR?","BEC_5V_IN","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","1",""
"J_RX?","RC_RX","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","1",""
"LED1","STATUS","LED_THT:LED_D5.0mm","1",""
"R_LED?","330","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R_SCL?","4.7k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R_SDA?","4.7k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
